NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
143001,2016-9-15 13:47,莫蘭蒂颱風,debris flow,120.389581,22.594468,高雄市,大寮區,高雄市大寮區內坑路109-47號,住家後私人山坡地滑落,6401400
143089,2016-9-15 13:33,莫蘭蒂颱風,rock fall,120.391898,22.658713,高雄市,鳥松區,高雄市鳥松區華美里中山西路公園後方,高雄市鳥松區華美里中山西路公園後方rock fall,6401800
143366,2016-9-15 12:34,莫蘭蒂颱風,road blockage,118.321348,24.429636,金門縣,金城鎮,金門縣金城鎮東門里31鄰環島西路38號,莒光橋紅綠燈掉落，再往轉進去前往莒光樓前面路上有兩棵大樹路倒影響交通,902001
141398,2016-9-15 12:10,莫蘭蒂颱風,road blockage,121.482525,22.6457,臺東縣,綠島鄉,臺東縣綠島鄉南寮村,沙石及浮木推基於環島公路上,1001411
141520,2016-9-15 11:37,莫蘭蒂颱風,roadbed loss,120.349282,22.742972,高雄市,大社區,高雄市大社區保社里中正路325號,民眾通報本區保社里中正路325號前路基淘空，影響通行安全，請派員處理。,6401600
141693,2016-9-15 11:11,莫蘭蒂颱風,roadbed loss,120.163225,22.985509,臺南市,安平區,臺南市安平區,安億橋上(北往南方向)道路有坑洞,6703600
142200,2016-9-15 10:01,莫蘭蒂颱風,roadbed loss,120.324304,22.631243,高雄市,苓雅區,高雄市苓雅區正言里16鄰大順三路62號,"大順三路近家樂福馬路有一約長120?60淘空,請填補",6400800
140993,2016-9-15 08:13,莫蘭蒂颱風,rock fall,120.732632,22.078157,屏東縣,車城鄉,屏東縣車城鄉統埔往四重溪方向,2016/09/15 08:13:36 - 道路遭土石坍方(長5公尺*寬3公尺)影響單向通車統埔電線桿倒塌福安路路樹倒塌,1001323
141130,2016-9-15 07:20,莫蘭蒂颱風,rock fall,121.105511,22.753865,臺東縣,臺東市,台東縣台東市台東大橋,臺東大橋rock fall ==================== 2016/09/15 07:20:10 - 報案人謝先生轉述：該地點道路落石影響交通安全。 ,1001401
140875,2016-9-15 07:10,莫蘭蒂颱風,debris flow,121.053547,22.753158,臺東縣,臺東市,臺東縣臺東市青海路一段280號,debris flow沖進民宅,1001401
141138,2016-9-15 07:10,莫蘭蒂颱風,debris flow,121.053547,22.753158,臺東縣,臺東市,臺東縣臺東市青海路一段280號,臺東市建和里青海路一段280號debris flow沖入民宅 ==================== debris flow沖進民宅 ,1001401
