NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
105063,2016-7-11 14:19,尼伯特颱風,debris flow,120.593027,24.000299,彰化縣,大村鄉,彰化縣大村鄉福興村學府路1號,彰化縣大村鄉福興村五里坑大葉大學土石崩塌，圖書館大樓被掩埋，30名讀者受困，1人罹難，20輛機車2輛汔車?損。,1000713
105068,2016-7-11 14:15,尼伯特颱風,debris flow,120.590326,23.981263,彰化縣,大村鄉,彰化縣大村鄉黃厝村山腳路六段372巷1號,"彰化縣大村鄉黃厝村山腳路六段372巷1號因尼伯特颱風來襲,豪雨造成debris flow,2棟房屋倒塌,",1000713
105014,2016-7-10 15:00,尼伯特颱風,rock fall,121.707366,25.164388,基隆市,安樂區,基隆市安樂區湖海路二段2.7公里,7月10日午後豪雨，湖海路二段2.7公里處rock fall,1001706
104670,2016-7-9 11:29,尼伯特颱風,road blockage,120.759272,22.754778,屏東縣,霧臺鄉,屏東縣霧臺鄉大武村,霧大聯絡道因落石車子無法通行.,1001327
104676,2016-7-9 11:18,尼伯特颱風,road blockage,120.966995,22.533891,臺東縣,太麻里鄉,臺東縣太麻里鄉金崙村富山段,該路段沿途有樹木傾倒及落石(金崙村),1001409
104685,2016-7-9 10:52,尼伯特颱風,road blockage,121.353237,23.092138,臺東縣,成功鎮,臺東縣成功鎮忠仁里,道路邊坡rock fall阻塞路面影響交通 ,1001402
104702,2016-7-9 10:31,尼伯特颱風,road blockage,121.354111,23.125361,臺東縣,成功鎮,臺東縣成功鎮三仙里,通往聖武宮之產道路路面破損及土沙阻塞影響交通.,1001402
104705,2016-7-9 10:30,尼伯特颱風,roadbed loss,120.125555,23.125313,臺南市,七股區,臺南市七股區溪南里,溪南里溪南渡假村路基淘空,6701500
104751,2016-7-9 09:43,尼伯特颱風,roadbed loss,120.468486,23.378485,臺南市,白河區,臺南市白河區崎內里3鄰往2鄰道路掏空,臺南市白河區崎內里3鄰往2鄰道路掏空交通中斷,6700300
104767,2016-7-9 09:24,尼伯特颱風,road blockage,120.567398,22.983681,高雄市,杉林區,高雄市杉林區新庄里,"往地母廟道路竹子及rock fall,已請本所開口合約廠商前往處理",6403400
104769,2016-7-9 09:22,尼伯特颱風,slope slump,120.855875,22.239372,屏東縣,獅子鄉,屏東縣獅子鄉內文村,"屏東縣獅子鄉縣道199壽卡往內文約4.5~5K道路崩塌,另外往內文村有路樹倒塌壓在台電電線",1001332
104378,2016-7-8 23:35,尼伯特颱風,rock fall,120.876871,22.293782,臺東縣,達仁鄉,臺東縣達仁鄉安朔村,道路旁邊坡rock fall，僅能維持單線通車,1001415
